22.99	184.2	80.9
34.69	187.8	98.1
30.78	178.3	95.5
35.43	183.0	95.8
35.71	179.7	84.8
29.39	172.9	80.1
30.77	172.8	95.4
35.07	186.1	91.2
30.19	198.0	104.5
27.05	178.6	81.4
23.88	190.4	85.7
26.96	189.9	82.6
23.29	190.6	84.4
26.11	191.9	73.6
27.55	180.3	82.7
34.27	181.6	84.9
30.00	178.6	88.9
27.99	189.0	85.9
22.38	186.0	82.8
22.89	195.9	98.4
25.76	200.0	103.2
36.33	190.5	92.6
31.17	190.2	103.8
32.31	191.1	88.9
31.03	180.3	81.1
29.26	179.0	87.3
29.47	196.8	102.0
32.46	200.6	91.7
35.67	190.0	87.8
25.89	181.6	81.8
26.55	184.9	85.7
24.17	198.7	91.6
26.69	184.1	81.1
25.13	196.4	90.0
27.90	190.4	90.4
30.17	185.9	112.2
31.36	184.5	108.2
30.99	192.5	97.3
32.24	169.5	84.4
27.61	176.5	80.4
28.20	187.2	90.3
28.85	183.9	91.3
24.21	190.3	97.6
22.02	199.2	91.6
24.97	187.6	92.1
26.78	190.4	94.1
32.51	181.9	85.4
30.95	180.0	84.8
33.09	200.7	99.3
32.74	184.3	94.7
30.69	182.4	88.9
36.51	189.8	110.9
26.03	187.7	88.7
23.45	187.4	91.4
24.94	185.3	91.8
24.09	190.2	95.8
35.23	193.4	102.5
27.43	193.8	94.2
30.60	181.6	92.7
27.94	183.2	99.8
29.99	189.9	89.4
25.17	193.3	91.0
24.13	209.7	117.7
30.46	200.5	103.9
25.96	192.7	123.1
22.55	191.9	89.8
26.29	184.8	95.1
24.79	188.2	86.2
31.74	181.9	99.1
23.92	180.4	80.8
25.33	188.1	91.9
24.02	190.0	95.3
23.70	187.0	100.8
31.59	188.1	95.4
29.95	182.6	91.6
23.64	182.8	82.0
32.33	180.5	86.0
23.13	179.6	78.2
26.60	198.6	104.5
26.46	169.1	70.7
25.75	174.7	85.0
27.51	185.1	84.3
25.11	194.1	91.8
32.51	195.0	103.0
34.67	195.2	103.0
31.06	184.5	100.9
29.10	177.4	71.8
28.66	183.1	93.4
28.35	198.1	105.7
33.77	184.7	113.1
30.89	190.3	94.4
37.74	190.6	86.2
24.14	185.1	71.5
25.71	189.7	90.9
24.41	200.3	93.1
24.32	193.8	101.8
28.09	181.4	89.4
33.31	192.2	93.8
36.40	186.0	100.6
37.36	189.3	100.4
31.61	185.3	78.1
25.14	177.7	84.2
30.29	187.8	88.9
36.37	184.8	98.7
34.89	190.1	104.7
23.79	188.9	81.6
27.96	186.1	100.1
23.54	169.5	82.7
31.37	181.6	82.6
31.29	184.3	78.0
33.01	194.1	96.1
25.10	191.9	98.3
31.28	179.6	90.3
34.75	179.3	95.5
23.46	183.1	81.6
25.37	192.2	87.4
